Hospital de Bellvitge,364300,L1,r
Bellvitge,881000,L1,r
Avinguda Carrilet,1168840,L1,r
Rambla Just Oliveres,664720,L1,r
Can Serra,572970,L1,r
Florida,614820,L1,r
Torrassa,552700,L1,r
Santa Eulalia,1031410,L1,r
Mercat Nou,677880,L1,r
Placa Sants,455890,L1,r
Hostafrancs,430140,L1,r
Espanya,520680,L1,r
Rocafort,595500,L1,r
Urgell,511690,L1,r
Universitat,554460,L1,r
Catalunya,468760,L1,r
Urquinaona,526250,L1,r
Arc de Triomf,636420,L1,r
Marina,469370,L1,r
Glories,888180,L1,r
Clot,887200,L1,r
Navas,669170,L1,r
Sagrera,692130,L1,r
Fabra i Puig,859120,L1,r
Sant Andreu,1143930,L1,r
Torras i Bages,735250,L1,r
Trinitat Vella,722200,L1,r
Baro de Viver,540230,L1,r
Santa Coloma,735742,L1,r
Fondo,897910,L1,r
Paralel,182090,L2,purple
Sant Antoni,790750,L2,purple
Universitat,544885,L2,purple
Passeig de Gracia,660365,L2,purple
Tetuan,862457,L2,purple
Monumental,843190,L2,purple
Sagrada Familia,530363,L2,purple
Encants,1166500,L2,purple
Clot,486500,L2,purple
Bac de Roda,929519,L2,purple
Sant Marti,615489,L2,purple
La Pau,733356,L2,purple
Verneda,787455,L2,purple
Artigues|Sant Adria,824275,L2,purple
Sant Roc,1019040,L2,purple
Gorg,633860,L2,purple
Pep Ventura,555640,L2,purple
Zona Universitaria,429520,L3,limegreen
Palau Reial,650475,L3,limegreen
Maria Cristina,640435,L3,limegreen
Les Corts,691290,L3,limegreen
Placa Centre,635420,L3,limegreen
Sants Estacio,501320,L3,limegreen
Tarragona,499820,L3,limegreen
Espanya,673750,L3,limegreen
Poble Sec,725935,L3,limegreen
Paralel,741885,L3,limegreen
Drassanes,627020,L3,limegreen
Liceu,630200,L3,limegreen
Catalunya,607330,L3,limegreen
Passeig de Gracia,732065,L3,limegreen
Diagonal,646436,L3,limegreen
Fontana,901831,L3,limegreen
Lesseps,472090,L3,limegreen
Vallcarca,883310,L3,limegreen
Penitents,792300,L3,limegreen
Vall d'Hebron,809140,L3,limegreen
Montbau,628950,L3,limegreen
Mundet,643110,L3,limegreen
Valldaura,795770,L3,limegreen
Canyelles,924160,L3,limegreen
Roquetes,1074000,L3,limegreen
Trinitat Nova,782000,L3,limegreen
La Pau,340000,L4,goldenrod
Besos,596510,L4,goldenrod
Besos Mar,724760,L4,goldenrod
Maresme | Forum,776579,L4,goldenrod
Selva de Mar,503651,L4,goldenrod
Poblenou,676780,L4,goldenrod
Llacuna,672300,L4,goldenrod
Bogatell,669710,L4,goldenrod
Ciutadella,1154000,L4,goldenrod
Barceloneta,896170,L4,goldenrod
Jaume I,756610,L4,goldenrod
Urquinaona,639620,L4,goldenrod
Passeig de Gracia,587810,L4,goldenrod
Girona,669130,L4,goldenrod
Verdaguer,770250,L4,goldenrod
Joanic,833000,L4,goldenrod
Alfons X,758430,L4,goldenrod
Guinardo | Hospital de Sant Pau,790590,L4,goldenrod
Maragall,864790,L4,goldenrod
Llucmajor,1669550,L4,goldenrod
Via Julia,876090,L4,goldenrod
Trinitat Nova,702350,L4,goldenrod
Cornella Centre,196650,L5,darkblue
Gavarra,783941,L5,darkblue
Sant Ildefons,788622,L5,darkblue
Can Boixeres,691500,L5,darkblue
Can Vidalet,840180,L5,darkblue
Pubilla Cases,808590,L5,darkblue
Collblanc,1087400,L5,darkblue
Badal,686750,L5,darkblue
Placa Sants,653740,L5,darkblue
Sants Estacio,656540,L5,darkblue
Entenca,677470,L5,darkblue
Hospital Clinic,650550,L5,darkblue
Diagonal,912890,L5,darkblue
Verdaguer,869270,L5,darkblue
Sagrada Familia,769290,L5,darkblue
Sant Pau | Dos de Maig,842520,L5,darkblue
Camp de l'Arpa,662690,L5,darkblue
Sagrera,855270,L5,darkblue
Congres,600360,L5,darkblue
Maragall,459740,L5,darkblue
Virrei Amat,537990,L5,darkblue
Vilapicina,634010,L5,darkblue
Horta,688150,L5,darkblue
Trinitat Nova,300,L11,lightsage
Casa de l'Aigua,293280,L11,lightsage
Torre Baro | Vallbona,1186000,L11,lightsage
Ciutat Meridiana,524000,L11,lightsage
Can Cuias,208000,L11,lightsage
